DISTRICTE,BARRI,HABITANTS,HABITANTS 20-70,TOTAL,LLIURES,ORA,GUALS,PÀRQUINGS,SOLARS,ALTRES,TURISMES,PLACES/HABITANTS,PLACES/HABITANTS 20-70,PLACES/TURISMES,HABITANTS/TURISMES,HABITANTS 20-70/TURISMES,HABITANTS/HABITANTS 20-70
CIUTAT VELLA,LA SEU,3013.0,,1184.0,20.0,48.0,768.0,348.0,0.0,0.0,,0.39,,,,,
CIUTAT VELLA,LA XEREA,3908.0,,3036.0,96.0,132.0,2421.0,387.0,0.0,0.0,,0.78,,,,,
CIUTAT VELLA,EL CARME,6343.0,,1965.0,133.0,349.0,1466.0,0.0,17.0,0.0,,0.31,,,,,
CIUTAT VELLA,EL PILAR,4624.0,,2935.0,11.0,115.0,2484.0,270.0,55.0,0.0,,0.63,,,,,
CIUTAT VELLA,EL MERCAT,3558.0,,1934.0,8.0,29.0,861.0,1036.0,0.0,0.0,,0.54,,,,,
CIUTAT VELLA,SANT FRANCESC,5624.0,,6764.0,114.0,86.0,4790.0,1774.0,0.0,0.0,,1.2,,,,,
L'EIXAMPLE,RUSSAFA,23742.0,,13144.0,2034.0,404.0,8197.0,2437.0,72.0,0.0,,0.55,,,,,
L'EIXAMPLE,EL PLA DEL REMEI,6998.0,,6971.0,363.0,225.0,4108.0,2275.0,0.0,0.0,,1.0,,,,,
L'EIXAMPLE,LA GRAN VIA,11878.0,,8323.0,1179.0,494.0,4964.0,1686.0,0.0,0.0,,0.7,,,,,
EXTRAMURS,EL BOTANIC,6620.0,,2370.0,612.0,165.0,1593.0,0.0,0.0,0.0,,0.36,,,,,
EXTRAMURS,LA ROQUETA,4449.0,,4320.0,630.0,86.0,2934.0,670.0,0.0,0.0,,0.97,,,,,
EXTRAMURS,LA PETXINA,15040.0,,6767.0,2093.0,153.0,3583.0,915.0,23.0,0.0,,0.45,,,,,
EXTRAMURS,ARRANCAPINS,22508.0,,10250.0,2417.0,506.0,5541.0,1786.0,0.0,0.0,,0.46,,,,,
CAMPANAR,CAMPANAR,11593.0,,10768.0,2117.0,276.0,4032.0,3881.0,462.0,0.0,,0.93,,,,,
CAMPANAR,LES TENDETES,5253.0,,2871.0,736.0,37.0,1458.0,510.0,0.0,130.0,,0.55,,,,,
CAMPANAR,EL CALVARI,4864.0,,1514.0,262.0,0.0,1252.0,0.0,0.0,0.0,,0.31,,,,,
CAMPANAR,SANT PAU,16628.0,,15933.0,1762.0,1.0,11238.0,1921.0,1011.0,0.0,,0.96,,,,,
LA SAIDIA,MARXALENES,10629.0,,3340.0,1185.0,0.0,1804.0,196.0,155.0,0.0,,0.31,,,,,
LA SAIDIA,MORVEDRE,10222.0,,3189.0,1264.0,0.0,1911.0,0.0,14.0,0.0,,0.31,,,,,
LA SAIDIA,TRINITAT,7807.0,,3867.0,1123.0,146.0,2377.0,0.0,221.0,0.0,,0.5,,,,,
LA SAIDIA,TORMOS,8628.0,,2618.0,762.0,0.0,1324.0,0.0,532.0,0.0,,0.3,,,,,
LA SAIDIA,SANT ANTONI,9806.0,,3460.0,1231.0,0.0,1800.0,372.0,57.0,0.0,,0.35,,,,,
EL PLA DEL REAL,EXPOSICIO,6730.0,,7635.0,1495.0,66.0,5351.0,723.0,0.0,0.0,,1.13,,,,,
EL PLA DEL REAL,MESTALLA,14646.0,,9528.0,2704.0,693.0,4905.0,1226.0,0.0,0.0,,0.65,,,,,
EL PLA DEL REAL,JAUME ROIG,6469.0,,2888.0,784.0,57.0,1786.0,260.0,1.0,0.0,,0.45,,,,,
EL PLA DEL REAL,CIUTAT UNIVERSITARIA,2693.0,,1934.0,790.0,167.0,965.0,0.0,12.0,0.0,,0.72,,,,,
L'OLIVERETA,NOU MOLES,26051.0,,9294.0,3201.0,350.0,5085.0,468.0,190.0,0.0,,0.36,,,,,
L'OLIVERETA,SOTERNES,4921.0,,2019.0,795.0,0.0,975.0,0.0,249.0,0.0,,0.41,,,,,
L'OLIVERETA,TRES FORQUES,9011.0,,4176.0,2483.0,0.0,1127.0,0.0,566.0,0.0,,0.46,,,,,
L'OLIVERETA,LA FONTSANTA,3511.0,,2038.0,919.0,0.0,680.0,439.0,0.0,0.0,,0.58,,,,,
L'OLIVERETA,LA LLUM,5056.0,,2293.0,1043.0,0.0,1180.0,70.0,0.0,0.0,,0.45,,,,,
PATRAIX,PATRAIX,24590.0,,9985.0,3186.0,54.0,5767.0,710.0,179.0,89.0,,0.41,,,,,
PATRAIX,SANT ISIDRE,9968.0,,4217.0,1614.0,0.0,2192.0,0.0,395.0,16.0,,0.42,,,,,
PATRAIX,VARA DE QUART,10409.0,,11682.0,3572.0,0.0,7313.0,431.0,158.0,208.0,,1.12,,,,,
PATRAIX,SAFRANAR,9179.0,,5273.0,2388.0,0.0,2622.0,0.0,263.0,0.0,,0.57,,,,,
PATRAIX,FAVARA,3637.0,,2893.0,854.0,88.0,1324.0,275.0,216.0,136.0,,0.8,,,,,
JESUS,LA RAIOSA,15493.0,,5997.0,1950.0,195.0,3338.0,480.0,34.0,0.0,,0.39,,,,,
JESUS,L'HORT DE SENABRE,17062.0,,5106.0,2164.0,33.0,2612.0,0.0,297.0,0.0,,0.3,,,,,
JESUS,LA CREU COBERTA,6158.0,,2529.0,913.0,0.0,1509.0,0.0,107.0,0.0,,0.41,,,,,
JESUS,SANT MARCEL.LI,10069.0,,3882.0,1309.0,0.0,2101.0,0.0,413.0,59.0,,0.39,,,,,
JESUS,CAMI REAL,3841.0,,2044.0,899.0,0.0,796.0,0.0,187.0,162.0,,0.53,,,,,
QUATRE CARRERES,MONT-OLIVET,19448.0,,5774.0,2385.0,33.0,3069.0,275.0,12.0,0.0,,0.3,,,,,
QUATRE CARRERES,EN CORTS,12106.0,,5520.0,1777.0,26.0,3004.0,380.0,101.0,232.0,,0.46,,,,,
QUATRE CARRERES,MALILLA,21943.0,,13464.0,5669.0,0.0,4449.0,1011.0,2335.0,0.0,,0.61,,,,,
QUATRE CARRERES,LA FONTETA S.LLUIS,2950.0,,1486.0,979.0,0.0,398.0,0.0,109.0,0.0,,0.5,,,,,
QUATRE CARRERES,NA ROVELLA,7815.0,,3176.0,2594.0,0.0,582.0,0.0,0.0,0.0,,0.41,,,,,
QUATRE CARRERES,LA PUNTA,2603.0,,2857.0,1652.0,0.0,1097.0,0.0,108.0,0.0,,1.1,,,,,
QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,7050.0,,10843.0,1481.0,168.0,5560.0,3458.0,176.0,0.0,,1.54,,,,,
POBLATS MARITIMS,EL GRAU,9408.0,,5796.0,1263.0,24.0,2850.0,1094.0,24.0,541.0,,0.62,,,,,
POBLATS MARITIMS,CABANYAL-CANYAMELAR,19497.0,,6829.0,1119.0,0.0,2021.0,742.0,1485.0,1462.0,,0.35,,,,,
POBLATS MARITIMS,LA MALVA-ROSA,12936.0,,3583.0,1543.0,0.0,1526.0,0.0,514.0,0.0,,0.28,,,,,
POBLATS MARITIMS,BETERO,8011.0,,2381.0,1241.0,0.0,1068.0,0.0,72.0,0.0,,0.3,,,,,
POBLATS MARITIMS,NATZARET,5991.0,,2259.0,1797.0,0.0,247.0,0.0,215.0,0.0,,0.38,,,,,
CAMINS AL GRAU,AIORA,24980.0,,8960.0,1213.0,33.0,7349.0,0.0,365.0,0.0,,0.36,,,,,
CAMINS AL GRAU,ALBORS,8776.0,,3155.0,415.0,73.0,2460.0,207.0,0.0,0.0,,0.36,,,,,
CAMINS AL GRAU,LA CREU DEL GRAU,14694.0,,4700.0,756.0,100.0,3228.0,0.0,566.0,50.0,,0.32,,,,,
CAMINS AL GRAU,CAMI FONDO,4587.0,,2126.0,162.0,24.0,1715.0,0.0,225.0,0.0,,0.46,,,,,
CAMINS AL GRAU,PENYA-ROJA,12414.0,,20446.0,634.0,147.0,17102.0,2108.0,0.0,455.0,,1.65,,,,,
ALGIROS,L'ILLA PERDUDA,8692.0,,1706.0,539.0,0.0,911.0,256.0,0.0,0.0,,0.2,,,,,
ALGIROS,CIUTAT JARDI,11810.0,,4148.0,1483.0,0.0,1744.0,911.0,10.0,0.0,,0.35,,,,,
ALGIROS,L'AMISTAT,7095.0,,1943.0,1110.0,37.0,796.0,0.0,0.0,0.0,,0.27,,,,,
ALGIROS,LA VEGA BAIXA,5572.0,,2544.0,905.0,0.0,1639.0,0.0,0.0,0.0,,0.46,,,,,
ALGIROS,LA CARRASCA,3542.0,,3719.0,2096.0,0.0,962.0,0.0,417.0,244.0,,1.05,,,,,
BENIMACLET,BENIMACLET,23306.0,,8482.0,2257.0,76.0,5092.0,963.0,0.0,94.0,,0.36,,,,,
BENIMACLET,CAMI DE VERA,5412.0,,2729.0,464.0,25.0,1161.0,0.0,1007.0,72.0,,0.5,,,,,
RASCANYA,ELS ORRIOLS,16423.0,,3514.0,1586.0,8.0,1624.0,0.0,296.0,0.0,,0.21,,,,,
RASCANYA,TORREFIEL,26268.0,,8723.0,2842.0,0.0,4761.0,0.0,1120.0,0.0,,0.33,,,,,
RASCANYA,SANT LLORENS,10879.0,,10448.0,2279.0,5.0,7874.0,0.0,290.0,0.0,,0.96,,,,,
BENICALAP,BENICALAP,40908.0,,16855.0,2864.0,0.0,11714.0,0.0,2277.0,0.0,,0.41,,,,,
BENICALAP,CIUTAT FALLERA,5791.0,,1003.0,310.0,0.0,570.0,0.0,123.0,0.0,,0.17,,,,,
POBLATS DEL NORD,BENIFARAIG,1014.0,,158.0,42.0,0.0,116.0,0.0,0.0,0.0,,0.16,,,,,
POBLATS DEL NORD,POBLE NOU,899.0,,523.0,35.0,0.0,133.0,0.0,355.0,0.0,,0.58,,,,,
POBLATS DEL NORD,CARPESA,1186.0,,158.0,93.0,0.0,65.0,0.0,0.0,0.0,,0.13,,,,,
