DISTRICTE,BARRI,HABITANTS,HABITANTS 20-70,TOTAL,LLIURES,ORA,GUALS,PÀRQUINGS,SOLARS,ALTRES,TURISMES,PLACES/HABITANTS,PLACES/HABITANTS 20-70,PLACES/TURISMES,HABITANTS/TURISMES,HABITANTS 20-70/TURISMES,HABITANTS/HABITANTS 20-70
CIUTAT VELLA,Districte,27070.0,18478.0,17818.0,382.0,759.0,12790.0,3815.0,72.0,0.0,13994.0,0.66,0.96,1.27,1.93,1.32,68.3
L'EIXAMPLE,Districte,42618.0,27453.0,28438.0,3576.0,1123.0,17269.0,6398.0,72.0,0.0,19784.0,0.67,1.04,1.44,2.15,1.39,64.4
EXTRAMURS,Districte,48617.0,31579.0,23707.0,5752.0,910.0,13651.0,3371.0,23.0,0.0,21076.0,0.49,0.75,1.12,2.31,1.5,65.0
CAMPANAR,Districte,38338.0,25091.0,31086.0,4877.0,314.0,17980.0,6312.0,1473.0,130.0,17004.0,0.81,1.24,1.83,2.25,1.48,65.4
LA SAIDIA,Districte,47092.0,30952.0,16474.0,5565.0,146.0,9216.0,568.0,979.0,0.0,19256.0,0.35,0.53,0.86,2.45,1.61,65.7
EL PLA DEL REAL,Districte,30538.0,19146.0,21985.0,5773.0,983.0,13007.0,2209.0,13.0,0.0,15556.0,0.72,1.15,1.41,1.96,1.23,62.7
L'OLIVERETA,Districte,48550.0,31836.0,19820.0,8441.0,350.0,9047.0,977.0,1005.0,0.0,19917.0,0.41,0.62,1.0,2.44,1.6,65.6
PATRAIX,Districte,57783.0,39099.0,34050.0,11614.0,142.0,19218.0,1416.0,1211.0,449.0,27027.0,0.59,0.87,1.26,2.14,1.45,67.7
JESUS,Districte,52623.0,35890.0,19558.0,7235.0,228.0,10356.0,480.0,1038.0,221.0,22285.0,0.37,0.54,0.88,2.36,1.61,68.2
QUATRE CARRERES,Districte,73915.0,48783.0,43120.0,16537.0,227.0,18159.0,5124.0,2841.0,232.0,31704.0,0.58,0.88,1.36,2.33,1.54,66.0
POBLATS MARITIMS,Districte,55843.0,37320.0,20848.0,6963.0,24.0,7712.0,1836.0,2310.0,2003.0,23543.0,0.37,0.56,0.89,2.37,1.59,66.8
CAMINS AL GRAU,Districte,65451.0,43628.0,39387.0,3180.0,377.0,31854.0,2315.0,1156.0,505.0,26154.0,0.6,0.9,1.51,2.5,1.67,66.7
ALGIROS,Districte,36711.0,24899.0,14060.0,6133.0,37.0,6052.0,1167.0,427.0,244.0,17271.0,0.38,0.56,0.81,2.13,1.44,67.8
BENIMACLET,Districte,28718.0,19833.0,11211.0,2721.0,101.0,6253.0,963.0,1007.0,166.0,12635.0,0.39,0.57,0.89,2.27,1.57,69.1
RASCANYA,Districte,53570.0,35619.0,22685.0,6707.0,13.0,14259.0,0.0,1706.0,0.0,20719.0,0.42,0.64,1.09,2.59,1.72,66.5
BENICALAP,Districte,46699.0,31195.0,17858.0,3174.0,0.0,12284.0,0.0,2400.0,0.0,18979.0,0.38,0.57,0.94,2.46,1.64,66.8
POBLATS DEL NORD,Districte,6566.0,4232.0,1572.0,612.0,0.0,605.0,0.0,355.0,0.0,3302.0,0.24,0.37,0.48,1.99,1.28,64.5
POBLATS DE L'OEST,Districte,14387.0,9649.0,9297.0,3654.0,0.0,5078.0,565.0,0.0,0.0,6449.0,0.65,0.96,1.44,2.23,1.5,67.1
POBLATS DEL SUD,Districte,20647.0,13971.0,8521.0,3255.0,4.0,5262.0,0.0,0.0,0.0,10732.0,0.41,0.61,0.79,1.92,1.3,67.7
