DISTRICTE,BARRI,GRUP_EDAD,HABITANTS_GRUP
CIUTAT VELLA,Districte,0 - 4,1011.0
L'EIXAMPLE,Districte,0 - 4,1763.0
EXTRAMURS,Districte,0 - 4,1975.0
CAMPANAR,Districte,0 - 4,1741.0
LA SAIDIA,Districte,0 - 4,1813.0
EL PLA DEL REAL,Districte,0 - 4,1436.0
L'OLIVERETA,Districte,0 - 4,1764.0
PATRAIX,Districte,0 - 4,2128.0
JESUS,Districte,0 - 4,1941.0
QUATRE CARRERES,Districte,0 - 4,2870.0
POBLATS MARITIMS,Districte,0 - 4,2151.0
CAMINS AL GRAU,Districte,0 - 4,2639.0
ALGIROS,Districte,0 - 4,1236.0
BENIMACLET,Districte,0 - 4,1068.0
RASCANYA,Districte,0 - 4,2361.0
BENICALAP,Districte,0 - 4,2205.0
POBLATS DEL NORD,Districte,0 - 4,237.0
POBLATS DE L'OEST,Districte,0 - 4,642.0
POBLATS DEL SUD,Districte,0 - 4,881.0
CIUTAT VELLA,Districte,05 - 09,1120.0
L'EIXAMPLE,Districte,05 - 09,1969.0
EXTRAMURS,Districte,05 - 09,2045.0
CAMPANAR,Districte,05 - 09,2197.0
LA SAIDIA,Districte,05 - 09,1890.0
EL PLA DEL REAL,Districte,05 - 09,1524.0
L'OLIVERETA,Districte,05 - 09,1966.0
PATRAIX,Districte,05 - 09,2371.0
JESUS,Districte,05 - 09,2256.0
QUATRE CARRERES,Districte,05 - 09,3368.0
POBLATS MARITIMS,Districte,05 - 09,2482.0
CAMINS AL GRAU,Districte,05 - 09,3268.0
ALGIROS,Districte,05 - 09,1338.0
BENIMACLET,Districte,05 - 09,1074.0
RASCANYA,Districte,05 - 09,2872.0
BENICALAP,Districte,05 - 09,2441.0
POBLATS DEL NORD,Districte,05 - 09,329.0
POBLATS DE L'OEST,Districte,05 - 09,699.0
POBLATS DEL SUD,Districte,05 - 09,905.0
CIUTAT VELLA,Districte,10 - 14,1090.0
L'EIXAMPLE,Districte,10 - 14,2119.0
EXTRAMURS,Districte,10 - 14,2157.0
CAMPANAR,Districte,10 - 14,2142.0
LA SAIDIA,Districte,10 - 14,2111.0
EL PLA DEL REAL,Districte,10 - 14,1500.0
L'OLIVERETA,Districte,10 - 14,2308.0
PATRAIX,Districte,10 - 14,2862.0
JESUS,Districte,10 - 14,2455.0
QUATRE CARRERES,Districte,10 - 14,3802.0
POBLATS MARITIMS,Districte,10 - 14,2859.0
CAMINS AL GRAU,Districte,10 - 14,3746.0
ALGIROS,Districte,10 - 14,1394.0
BENIMACLET,Districte,10 - 14,1128.0
RASCANYA,Districte,10 - 14,3055.0
BENICALAP,Districte,10 - 14,2373.0
POBLATS DEL NORD,Districte,10 - 14,420.0
POBLATS DE L'OEST,Districte,10 - 14,771.0
POBLATS DEL SUD,Districte,10 - 14,1049.0
CIUTAT VELLA,Districte,15 - 19,1076.0
L'EIXAMPLE,Districte,15 - 19,1932.0
EXTRAMURS,Districte,15 - 19,2199.0
CAMPANAR,Districte,15 - 19,1731.0
LA SAIDIA,Districte,15 - 19,1986.0
EL PLA DEL REAL,Districte,15 - 19,1523.0
L'OLIVERETA,Districte,15 - 19,2264.0
PATRAIX,Districte,15 - 19,3027.0
JESUS,Districte,15 - 19,2350.0
QUATRE CARRERES,Districte,15 - 19,3640.0
POBLATS MARITIMS,Districte,15 - 19,2799.0
CAMINS AL GRAU,Districte,15 - 19,3549.0
ALGIROS,Districte,15 - 19,1621.0
BENIMACLET,Districte,15 - 19,1223.0
RASCANYA,Districte,15 - 19,2750.0
BENICALAP,Districte,15 - 19,2463.0
POBLATS DEL NORD,Districte,15 - 19,341.0
POBLATS DE L'OEST,Districte,15 - 19,768.0
POBLATS DEL SUD,Districte,15 - 19,910.0
CIUTAT VELLA,Districte,20 - 24,1343.0
L'EIXAMPLE,Districte,20 - 24,1971.0
EXTRAMURS,Districte,20 - 24,2371.0
CAMPANAR,Districte,20 - 24,1594.0
LA SAIDIA,Districte,20 - 24,2459.0
EL PLA DEL REAL,Districte,20 - 24,1786.0
L'OLIVERETA,Districte,20 - 24,2522.0
PATRAIX,Districte,20 - 24,2919.0
JESUS,Districte,20 - 24,2670.0
QUATRE CARRERES,Districte,20 - 24,3637.0
POBLATS MARITIMS,Districte,20 - 24,2745.0
CAMINS AL GRAU,Districte,20 - 24,3303.0
ALGIROS,Districte,20 - 24,2159.0
BENIMACLET,Districte,20 - 24,1695.0
RASCANYA,Districte,20 - 24,2871.0
BENICALAP,Districte,20 - 24,2253.0
POBLATS DEL NORD,Districte,20 - 24,302.0
POBLATS DE L'OEST,Districte,20 - 24,684.0
POBLATS DEL SUD,Districte,20 - 24,968.0
CIUTAT VELLA,Districte,25 - 29,1644.0
L'EIXAMPLE,Districte,25 - 29,2139.0
EXTRAMURS,Districte,25 - 29,2581.0
CAMPANAR,Districte,25 - 29,1899.0
LA SAIDIA,Districte,25 - 29,2838.0
EL PLA DEL REAL,Districte,25 - 29,1888.0
L'OLIVERETA,Districte,25 - 29,2745.0
PATRAIX,Districte,25 - 29,3024.0
JESUS,Districte,25 - 29,3055.0
QUATRE CARRERES,Districte,25 - 29,3961.0
POBLATS MARITIMS,Districte,25 - 29,3149.0
CAMINS AL GRAU,Districte,25 - 29,3602.0
ALGIROS,Districte,25 - 29,2631.0
BENIMACLET,Districte,25 - 29,1997.0
RASCANYA,Districte,25 - 29,3044.0
BENICALAP,Districte,25 - 29,2510.0
POBLATS DEL NORD,Districte,25 - 29,340.0
POBLATS DE L'OEST,Districte,25 - 29,818.0
POBLATS DEL SUD,Districte,25 - 29,1116.0
CIUTAT VELLA,Districte,30 - 34,1922.0
L'EIXAMPLE,Districte,30 - 34,2447.0
EXTRAMURS,Districte,30 - 34,2944.0
CAMPANAR,Districte,30 - 34,2293.0
LA SAIDIA,Districte,30 - 34,2885.0
EL PLA DEL REAL,Districte,30 - 34,1710.0
L'OLIVERETA,Districte,30 - 34,2906.0
PATRAIX,Districte,30 - 34,3261.0
JESUS,Districte,30 - 34,3221.0
QUATRE CARRERES,Districte,30 - 34,4305.0
POBLATS MARITIMS,Districte,30 - 34,3333.0
CAMINS AL GRAU,Districte,30 - 34,3696.0
ALGIROS,Districte,30 - 34,2300.0
BENIMACLET,Districte,30 - 34,2007.0
RASCANYA,Districte,30 - 34,3137.0
BENICALAP,Districte,30 - 34,2863.0
POBLATS DEL NORD,Districte,30 - 34,340.0
POBLATS DE L'OEST,Districte,30 - 34,869.0
POBLATS DEL SUD,Districte,30 - 34,1285.0
CIUTAT VELLA,Districte,35 - 39,2101.0
L'EIXAMPLE,Districte,35 - 39,2922.0
EXTRAMURS,Districte,35 - 39,3325.0
CAMPANAR,Districte,35 - 39,2893.0
LA SAIDIA,Districte,35 - 39,3249.0
EL PLA DEL REAL,Districte,35 - 39,1899.0
L'OLIVERETA,Districte,35 - 39,3330.0
PATRAIX,Districte,35 - 39,3854.0
JESUS,Districte,35 - 39,3755.0
QUATRE CARRERES,Districte,35 - 39,5245.0
POBLATS MARITIMS,Districte,35 - 39,4010.0
CAMINS AL GRAU,Districte,35 - 39,4506.0
ALGIROS,Districte,35 - 39,2336.0
BENIMACLET,Districte,35 - 39,2098.0
RASCANYA,Districte,35 - 39,3903.0
BENICALAP,Districte,35 - 39,3900.0
POBLATS DEL NORD,Districte,35 - 39,388.0
POBLATS DE L'OEST,Districte,35 - 39,1136.0
POBLATS DEL SUD,Districte,35 - 39,1508.0
CIUTAT VELLA,Districte,40 - 44,2323.0
L'EIXAMPLE,Districte,40 - 44,3382.0
EXTRAMURS,Districte,40 - 44,3719.0
CAMPANAR,Districte,40 - 44,3337.0
LA SAIDIA,Districte,40 - 44,3708.0
EL PLA DEL REAL,Districte,40 - 44,2186.0
L'OLIVERETA,Districte,40 - 44,3879.0
PATRAIX,Districte,40 - 44,4605.0
JESUS,Districte,40 - 44,4562.0
QUATRE CARRERES,Districte,40 - 44,6174.0
POBLATS MARITIMS,Districte,40 - 44,4509.0
CAMINS AL GRAU,Districte,40 - 44,5705.0
ALGIROS,Districte,40 - 44,2552.0
BENIMACLET,Districte,40 - 44,2119.0
RASCANYA,Districte,40 - 44,4918.0
BENICALAP,Districte,40 - 44,4223.0
POBLATS DEL NORD,Districte,40 - 44,517.0
POBLATS DE L'OEST,Districte,40 - 44,1304.0
POBLATS DEL SUD,Districte,40 - 44,1734.0
CIUTAT VELLA,Districte,45 - 49,2264.0
L'EIXAMPLE,Districte,45 - 49,3361.0
EXTRAMURS,Districte,45 - 49,3721.0
CAMPANAR,Districte,45 - 49,3174.0
LA SAIDIA,Districte,45 - 49,3531.0
EL PLA DEL REAL,Districte,45 - 49,2034.0
L'OLIVERETA,Districte,45 - 49,3913.0
PATRAIX,Districte,45 - 49,4515.0
JESUS,Districte,45 - 49,4106.0
QUATRE CARRERES,Districte,45 - 49,6228.0
POBLATS MARITIMS,Districte,45 - 49,4457.0
