barrio,barrio_key,codbarrio,coddistbar,coddistrit,area_m2,n_airbnb,plazas_airbnb,reviews_totales,reviews_ltm,reviews_mes,ocupacion_estimada,ingresos_estimados,precio_medio,disponibilidad_media,pct_vivienda_completa,n_vut_gva,n_licencias_gva,plazas_gva,plazas_media_gva,n_airbnb_norm,plazas_airbnb_norm,n_vut_gva_norm,plazas_gva_norm,reviews_ltm_norm,reviews_mes_norm,ocupacion_norm,ingresos_norm,subindice_oferta,subindice_actividad,subindice_presion_reciente,indice_turistico,ranking_turistico
CABANYAL-CANYAMELAR,CABANYALCANYAMELAR,2,112,11,1349868.9426,577,2191,40312,9756,1035.76,72871,8823773,125.96880415944541,190.1213171577123,89.08145580589255,366,366,1357,3.7076502732240435,1,1,1,1,1,1,1,1,1,1,1,1,1
RUSSAFA,RUSSAFA,1,021,2,876743.8005,419,1621,28272,7342,751.9,52221,6576735,133.00954653937947,184.2219570405728,83.53221957040573,295,295,1101,3.7322033898305085,0.9497892211036422,0.9608512594399212,0.9635920034601538,0.9710433840561952,0.9690566584986677,0.9539271350792015,0.9702405382905401,0.9816224706470491,0.9603932960683621,0.9679454268735244,0.9690566584986677,0.9655244274167462,2
AIORA,AIORA,1,121,12,651351.6592,289,1056,14880,5884,633.12,37781,4556121,135.6885813148789,184.52249134948096,82.00692041522491,147,147,462,3.142857142857143,0.8915504466282993,0.9051838728062915,0.8462161002734098,0.8508350687086261,0.9449605343311951,0.9292010733354216,0.9413321984807806,0.9586707002864558,0.8725337523734963,0.9422878552216075,0.9449605343311951,0.9184084550466861,3
EL CARME,ELCARME,3,013,1,384064.6562,189,646,19809,4259,417.16,28696,3695781,173.3968253968254,193.84126984126985,95.23809523809523,196,196,643,3.2806122448979593,0.8250590653577632,0.8413763658449969,0.8946452164448581,0.8965769969109441,0.9097823590881848,0.8692381230835029,0.9167672719742936,0.9455849643897076,0.8635019570919744,0.90877737758714106,0.9097823590881848,0.8931319767140415,4
EL MERCAT,ELMERCAT,5,015,1,172793.9736,182,675,21594,3909,374.13,26040,3500328,146.1978021978022,195.4010989010989,88.46153846153845,214,214,653,3.0514018691588785,0.8191564813019385,0.8470762533400781,0.909451133785635,0.898712999163124,0.9004492205600917,0.8535996210989341,0.9080930686334785,0.9421875192322798,0.8677401350269125,0.8992486971760283,0.9004492205600917,0.8884608051006504,5
MONTOLIVET,MONTOLIVET,1,101,10,474699.4607,225,831,11998,3899,452.75,26997,2795155,106.5911111111111,180.35111111111112,86.22222222222223,114,114,356,3.1228070175438596,0.8523424857086965,0.8740684515622151,0.8034955774854667,0.8147940896805096,0.9001704383617545,0.8810013644552487,0.911316459858116,0.9281207647432572,0.8345239272067939,0.9057474679326547,0.9001704383617545,0.8797038227644234,6
LA MALVA-ROSA,LAMALVAROSA,3,113,11,732988.1541,190,753,10293,2881,349.16,21360,2660268,169.6,223.23157894736843,78.94736842105263,119,119,409,3.436974789915966,0.8258844910851068,0.8612716778810074,0.8107025218715785,0.8339825875648859,0.8672398255687286,0.8436797088465904,0.8903994946024946,0.9250281119260816,0.8300269569761843,0.8844361547850041,0.8672398255687286,0.861953669708662,7
EL GRAU,ELGRAU,1,111,11,5231981.5232,207,845,7056,2199,327.23,16978,1667401,109.58937198067633,206.04830917874395,79.71014492753623,188,188,584,3.106382978723404,0.8392917811670266,0.8762376771329197,0.8876250346600614,0.8832570683010444,0.8378434862739281,0.8343656313218574,0.8698939465867548,0.8958177273327779,0.8699739938349191,0.8652361704678475,0.8378434862739281,0.8614158718075386,8
EN CORTS,ENCORTS,2,102,10,364024.3521,187,680,10233,3928,396.87,23491,2051576,89.66844919786097,169.00534759358288,75.40106951871658,75,75,279,3.72,0.8233951002008106,0.8480342206310727,0.7333561349357489,0.7811159663705374,0.9009769479336535,0.8620751264038958,0.8988926353142422,0.908782309016901,0.7928554079412898,0.8889734093064185,0.9009769479336535,0.8577328165540705,9
LA SEU,LASEU,1,011,1,221072.5969,145,510,16780,3113,293.19,20724,2391930,128.44137931034481,200.21379310344827,91.72413793103448,133,133,453,3.406015037593985,0.7836384519814866,0.8107004389320094,0.8293886007280702,0.8481139034027216,0.8756684958428987,0.8185979124813755,0.8876998798035547,0.9183797957627002,0.8156709842798132,0.8727181660285357,0.8756684958428987,0.8533417183793555,10
